name,event,status,priority,due_date,assignee,reminder,recurring,remarks,gdrive_link,ministry
Preaching Highlights,,todo,high,,Clyde,1d,weekly,Weekly - due Thursday,,Media
Short Film (5th Week),,todo,high,2026-04-30,Clyde,1d,none,,,Media
Testimony Submission - Week 1 (Identity),,todo,high,2026-04-25,"Marimil, Kai",1d,none,,,Media
Testimony Submission - Week 2,,todo,high,2026-05-02,,1d,none,,,Media
Testimony Submission - Week 3 (Mission),,todo,high,2026-05-09,"Amor, Nick",1d,none,,,Media
Testimony Submission - Week 4,,todo,high,2026-05-16,,1d,none,Theme: TBD,,Media
Testimony Submission - Week 5 (Legacy),,todo,high,2026-05-23,Richard,1d,none,,,Media
Backdrop,,todo,medium,,"Karen, Raiza, Renan, Ekald",1d,none,,,Media
Logistics - Instrument Accountability,,todo,medium,,"Renan, Denver, Joko, Amor",none,none,,,Media
Prayer & Fasting,,todo,high,2026-04-27,,1d,none,"April 27 - May 2 @ 7 PM",,Media
